"Input Order","Search Term","Human GeneID","HGNCID","Human Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene2FunctionDetails"
"1","AADAT","51166","17929","AADAT","Fly","39233","FBgn0036117","CG6321","9","8.84","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp","","Add","CG6321 details"
"2","AAK1","22848","19679","AAK1","Fly","35154","FBgn0015772","Nak","10","9.89","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","Nak details"
"2","AAK1","22848","19679","AAK1","Fly","40527","FBgn0037218","aux","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","aux details"
"3","ABCA12","26154","14637","ABCA12","Fly","318066","FBgn0083956","CG34120","9","8.67","high","Yes","Yes","Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Phylome, TreeFam","","Add","CG34120 details"
"3","ABCA12","26154","14637","ABCA12","Fly","37293","FBgn0034493","CG8908","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG8908 details"
"3","ABCA12","26154","14637","ABCA12","Fly","34783","FBgn0028539","Eato","5","4.74","moderate","No","Yes","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","Eato details"
"3","ABCA12","26154","14637","ABCA12","Fly","33104","FBgn0031171","CG1801","4","3.84","moderate","No","Yes","Compara, eggNOG, OrthoDB, OrthoFinder","","Add","CG1801 details"
"3","ABCA12","26154","14637","ABCA12","Fly","42382","FBgn0051213","CG31213","4","3.84","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder","","Add","CG31213 details"
"3","ABCA12","26154","14637","ABCA12","Fly","33103","FBgn0031170","ABCA","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","ABCA details"
"3","ABCA12","26154","14637","ABCA12","Fly","39971","FBgn0036747","CG6052","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG6052 details"
"3","ABCA12","26154","14637","ABCA12","Fly","33803","FBgn0031734","CG11147","2","1.9","moderate","No","Yes","eggNOG, OrthoFinder","","Add","CG11147 details"
"3","ABCA12","26154","14637","ABCA12","Fly","43186","FBgn0053970","CG33970","2","1.9","moderate","No","Yes","eggNOG, OrthoFinder","","Add","CG33970 details"
"3","ABCA12","26154","14637","ABCA12","Fly","43391","FBgn0039594","snu","2","1.9","moderate","No","Yes","eggNOG, OrthoFinder","","Add","snu details"
"3","ABCA12","26154","14637","ABCA12","Fly","318910","FBgn0263747","CG43672","3","2.91","low","No","No","eggNOG, OrthoDB, OrthoFinder","","Add","CG43672 details"
"3","ABCA12","26154","14637","ABCA12","Fly","39977","FBgn0261998","CG42816","3","2.91","low","No","No","eggNOG, OrthoDB, OrthoFinder","","Add","CG42816 details"
"3","ABCA12","26154","14637","ABCA12","Fly","33102","FBgn0031169","CG1494","3","2.91","low","No","No","eggNOG, OrthoDB, OrthoFinder","","Add","CG1494 details"
"4","ABCA7","10347","37","ABCA7","Fly","37293","FBgn0034493","CG8908","4","3.74","moderate","Yes","No","Compara, eggNOG, OrthoDB, orthoMCL","","Add","CG8908 details"
"4","ABCA7","10347","37","ABCA7","Fly","34783","FBgn0028539","Eato","4","3.74","moderate","Yes","No","Compara, eggNOG, OrthoDB, orthoMCL","","Add","Eato details"
"4","ABCA7","10347","37","ABCA7","Fly","318066","FBgn0083956","CG34120","4","3.74","moderate","Yes","No","Compara, eggNOG, OrthoDB, orthoMCL","","Add","CG34120 details"
"4","ABCA7","10347","37","ABCA7","Fly","33104","FBgn0031171","CG1801","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","CG1801 details"
"4","ABCA7","10347","37","ABCA7","Fly","42382","FBgn0051213","CG31213","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","CG31213 details"
"4","ABCA7","10347","37","ABCA7","Fly","33103","FBgn0031170","ABCA","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","ABCA details"
"4","ABCA7","10347","37","ABCA7","Fly","39971","FBgn0036747","CG6052","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","CG6052 details"
"4","ABCA7","10347","37","ABCA7","Fly","318910","FBgn0263747","CG43672","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG43672 details"
"4","ABCA7","10347","37","ABCA7","Fly","39977","FBgn0261998","CG42816","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG42816 details"
"4","ABCA7","10347","37","ABCA7","Fly","33102","FBgn0031169","CG1494","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG1494 details"
"5","ABCB1","5243","40","ABCB1","Fly","36582","FBgn0010241","Mdr50","11","11.05","high","Yes","Yes","Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","Mdr50 details"
"5","ABCB1","5243","40","ABCB1","Fly","36428","FBgn0004512","Mdr49","8","7.96","moderate","No","No","Hieranoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr49 details"
"5","ABCB1","5243","40","ABCB1","Fly","38726","FBgn0004513","Mdr65","8","7.96","moderate","No","No","Hieranoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr65 details"
"5","ABCB1","5243","40","ABCB1","Fly","38725","FBgn0035695","CG10226","5","5.01","moderate","No","No","Hieranoid, OrthoDB, OrthoFinder, orthoMCL, Panther","","Add","CG10226 details"
"6","ABCB11","8647","42","ABCB11","Fly","36582","FBgn0010241","Mdr50","10","9.91","moderate","Yes","No","eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr50 details"
"6","ABCB11","8647","42","ABCB11","Fly","36428","FBgn0004512","Mdr49","9","8.81","moderate","No","Yes","eggNOG, Isobase, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr49 details"
"6","ABCB11","8647","42","ABCB11","Fly","38726","FBgn0004513","Mdr65","8","7.86","moderate","No","No","eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr65 details"
"6","ABCB11","8647","42","ABCB11","Fly","38725","FBgn0035695","CG10226","7","6.77","moderate","No","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome","","Add","CG10226 details"
"7","ABCB4","5244","45","ABCB4","Fly","38726","FBgn0004513","Mdr65","11","10.81","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Isobase, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr65 details"
"7","ABCB4","5244","45","ABCB4","Fly","36582","FBgn0010241","Mdr50","10","10","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","Mdr50 details"
"7","ABCB4","5244","45","ABCB4","Fly","36428","FBgn0004512","Mdr49","9","8.86","moderate","No","Yes","eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp","","Add","Mdr49 details"
"7","ABCB4","5244","45","ABCB4","Fly","38725","FBgn0035695","CG10226","7","6.91","moderate","No","Yes","eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther","","Add","CG10226 details"
"8","ABCB6","10058","47","ABCB6","Fly","41925","FBgn0038376","Hmt-1","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Hmt-1 details"
"8","ABCB6","10058","47","ABCB6","Fly","38193","FBgn0035244","ABCB7","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","ABCB7 details"
"8","ABCB6","10058","47","ABCB6","Fly","36821","FBgn0034110","Atg9","2","1.94","low","No","No","Compara, OMA","","Add","Atg9 details"
"9","ABCC1","4363","51","ABCC1","Fly","34686","FBgn0032456","MRP","11","10.67","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, TreeFam","","Add","MRP details"
"9","ABCC1","4363","51","ABCC1","Fly","37428","FBgn0034612","CG10505","6","5.69","moderate","No","No","Compara, eggNOG, Isobase, OrthoDB, OrthoFinder, orthoMCL","","Add","CG10505 details"
"9","ABCC1","4363","51","ABCC1","Fly","43450","FBgn0039644","rdog","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","rdog details"
"9","ABCC1","4363","51","ABCC1","Fly","42362","FBgn0038740","CG4562","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG4562 details"
"9","ABCC1","4363","51","ABCC1","Fly","35163","FBgn0051792","CG31792","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG31792 details"
"9","ABCC1","4363","51","ABCC1","Fly","35366","FBgn0032908","CG9270","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG9270 details"
"9","ABCC1","4363","51","ABCC1","Fly","34148","FBgn0032026","CG7627","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG7627 details"
"9","ABCC1","4363","51","ABCC1","Fly","43451","FBgn0039645","CG11898","5","4.74","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG11898 details"
"9","ABCC1","4363","51","ABCC1","Fly","41387","FBgn0263316","Mrp4","4","3.84","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder","","Add","Mrp4 details"
"9","ABCC1","4363","51","ABCC1","Fly","47905","FBgn0010549","l(2)03659","4","3.84","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder","","Add","l(2)03659 details"
"9","ABCC1","4363","51","ABCC1","Fly","326161","FBgn0051793","CG31793","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG31793 details"
"9","ABCC1","4363","51","ABCC1","Fly","34140","FBgn0032018","CG7806","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG7806 details"
